15,443447606,ou-it-fall21-sentiment-classification,26821713,user,MohamedAliHabib/ou-it-fall21-sentiment-classification,2022-01-01 00:42:11,2022-02-21 22:26:49,,Jupyter Notebook,26821713,1,1,0,machine learning,https://github.com/MohamedAliHabib/ou-it-fall21-sentiment-classification,5183.0,False,0,,https://api.github.com/repos/MohamedAliHabib/ou-it-fall21-sentiment-classification/contents/{+path}
16,443500493,transcriptachilles,17781683,user,fcarazo/transcriptachilles,2022-01-01 08:32:38,2022-02-02 08:45:56,,R,17781683,1,1,0,machine learning,https://github.com/fcarazo/transcriptachilles,9150.0,False,0,,https://api.github.com/repos/fcarazo/transcriptachilles/contents/{+path}
17,443634826,BasicNeuralNetwork,45392182,user,ManasBommakanti/BasicNeuralNetwork,2022-01-01 22:22:52,2022-01-22 01:27:05,machine-learning#neural-network,Python,45392182,1,1,0,machine learning,https://github.com/ManasBommakanti/BasicNeuralNetwork,961.0,False,0,,https://api.github.com/repos/ManasBommakanti/BasicNeuralNetwork/contents/{+path}
18,443604306,MachineLearning,55946057,user,Anurag2809/MachineLearning,2022-01-01 18:58:29,2022-01-01 19:01:55,,Jupyter Notebook,55946057,1,0,0,machine learning,https://github.com/Anurag2809/MachineLearning,,False,0,,https://api.github.com/repos/Anurag2809/MachineLearning/contents/{+path}
19,443610643,MachineLearning,56004643,user,Alihdnz/MachineLearning,2022-01-01 19:39:03,2022-01-01 19:39:03,,,,0,0,0,machine learning,https://github.com/Alihdnz/MachineLearning,,False,0,,https://api.github.com/repos/Alihdnz/MachineLearning/contents/{+path}
20,443546018,MachineLearning,87363956,user,ansuka01/MachineLearning,2022-01-01 13:37:09,2022-01-01 13:48:33,,Jupyter Notebook,87363956,1,0,0,machine learning,https://github.com/ansuka01/MachineLearning,,False,0,,https://api.github.com/repos/ansuka01/MachineLearning/contents/{+path}
21,443615487,MachineLearning,59236518,user,Boutriga/MachineLearning,2022-01-01 20:10:38,2022-01-01 20:11:06,,,59236518,1,0,0,machine learning,https://github.com/Boutriga/MachineLearning,17.0,False,0,,https://api.github.com/repos/Boutriga/MachineLearning/contents/{+path}
22,443608692,MachineLearning,10928536,user,rvbug/MachineLearning,2022-01-01 19:26:24,2022-01-01 19:28:07,,Jupyter Notebook,10928536,1,0,0,machine learning,https://github.com/rvbug/MachineLearning,330.0,False,0,,https://api.github.com/repos/rvbug/MachineLearning/contents/{+path}
23,443579350,MachineLearning,96870034,user,sarojoe10/MachineLearning,2022-01-01 16:38:22,2022-01-19 11:50:06,,Jupyter Notebook,96870034,1,0,0,machine learning,https://github.com/sarojoe10/MachineLearning,94.0,False,0,,https://api.github.com/repos/sarojoe10/MachineLearning/contents/{+path}
24,443517562,MachineLearning-sample-demos,92346875,user,yinboliu-git/MachineLearning-sample-demos,2022-01-01 10:38:02,2022-01-01 10:41:30,,Python,92346875,1,0,0,machine learning,https://github.com/yinboliu-git/MachineLearning-sample-demos,30.0,False,0,,https://api.github.com/repos/yinboliu-git/MachineLearning-sample-demos/contents/{+path}
