total_index,repo_id,repo_name,owner_id,owner_type,full_name,create_date,update_date,topics,language,contributors,contributor_counts,stargazer_counts,forker_counts,keyword,readme_url,read_length,is_it_forked_repo,open_issues,original_repo,contents
total_index,repo_id,repo_name,owner_id,owner_type,full_name,create_date,update_date,topics,language,contributors,contributor_counts,stargazer_counts,forker_counts,keyword,readme_url,read_length,is_it_forked_repo,open_issues,original_repo,contents
0,446317583,awesome-ai-summerschool,8729049,user,hazratali/awesome-ai-summerschool,2022-01-10 07:14:36,2022-06-05 08:31:39,,,8729049#37307369,2,17,6,artificial-intelligence\ stars:>10,https://github.com/hazratali/awesome-ai-summerschool,8350,False,0,,https://api.github.com/repos/hazratali/awesome-ai-summerschool/contents/{+path}
1,447389954,Cryptocurrency-Prediction-with-Artificial-Intelligence,72056400,user,emirhanai/Cryptocurrency-Prediction-with-Artificial-Intelligence,2022-01-12 22:31:25,2022-06-10 21:46:43,cryptocurrency#prediction#artificial-intelligence#artificial-neural-networks#deep-learning#deep-neural-networks#deeplearning#neural-networks#neural-network#lstm#lstm-neural-networks#lstm-model#cryptocurrency-prices#xrp#usdt,Jupyter Notebook,72056400,1,86,32,artificial-intelligence\ stars:>10,https://github.com/emirhanai/Cryptocurrency-Prediction-with-Artificial-Intelligence,1787,False,1,,https://api.github.com/repos/emirhanai/Cryptocurrency-Prediction-with-Artificial-Intelligence/contents/{+path}
2,447090438,SPAIC,97514803,organization,ZhejianglabNCRC/SPAIC,2022-01-12 05:37:47,2022-06-02 16:06:17,,Python,21967773#67320343#19149401,3,13,1,artificial-intelligence\ stars:>10,https://github.com/ZhejianglabNCRC/SPAIC,11736,False,0,,https://api.github.com/repos/ZhejianglabNCRC/SPAIC/contents/{+path}
